name,homepage,description,languages,proprietary
InsiderSec,https://insidersec.io/,"A open source Static Application Security Testing tool (SAST) written in GoLang for Java (Maven and Android), Kotlin (Android), Swift (iOS), .NET Full Framework, C# and Javascript (Node.js).","java, mobile, kotlin, swift, dotnet, javascript, nodejs, csharp, security",false
IntelliJ IDEA,https://www.jetbrains.com/idea/,"Comes bundled with a lot of inspections for Java and Kotlin and includes tools for refactoring, formatting and more.",ide,true
interfacer,https://github.com/mvdan/interfacer,Suggest narrower interfaces that can be used,go,false
Jakstab,https://github.com/jkinder/jakstab,"Jakstab is an Abstract Interpretation-based, integrated disassembly and static analysis framework for designing analyses on executables and recovering reliable control flow graphs.",binary,false
JArchitect,https://www.jarchitect.com,"Measure, query and visualize your code and avoid unexpected issues, technical debt and complexity.",java,true
JBMC,https://www.cprover.org/jbmc/,"Bounded model-checker for Java (bytecode), verifies user-defined assertions, standard assertions, several coverage metric analyses.",java,false
jedi,https://jedi.readthedocs.io/en/latest/,Autocompletion/static analysis library for Python,python,false
Joern,ttps://joern.io,Open-source code analysis platform for C/C++ based on code property graph,"c, cpp",false
jshint,https://jshint.com/about/,Detect errors and potential problems in JavaScript code and enforce your team's coding conventions.,javascript,false
JSLint,https://github.com/douglascrockford/JSLint,The JavaScript Code Quality Tool,javascript,false
JSPrime,http://dpnishant.github.io/jsprime/,Static security analysis tool,javascript,false
Kiuwan,https://www.kiuwan.com/code-security-sast/,"Identify and remediate cyber threats in a blazingly fast, collaborative environment, with seamless integration in your SDLC. Python, C\\C++, Java, C#, PHP and more.","c, cpp, go, java, javascript, kotlin, php, python, scala, service, swift",true
Klocwork,https://www.perforce.com/products/klocwork,"Quality and Security Static analysis for C/C++, Java and C#.","c, cpp, csharp, java",true
ktlint,https://ktlint.github.io/,An anti-bikeshedding Kotlin linter with built-in formatter,"kotlin, formatter",false
kube-score,https://kube-score.com/,Static code analysis of your Kubernetes object definitions,container,false
kubeval,https://kubeval.instrumenta.dev/,Validates your Kubernetes configuration files and supports multiple Kubernetes versions,container,false
lacheck,https://www.ctan.org/pkg/lacheck,A tool for finding common mistakes in LaTeX documents,latex,false
TeXLab,https://texlab.netlify.app,"A Language Server Protocol implementation for TeX/LaTeX, including lint capabilities",latex,false
Landscape,https://landscape.io/,Static code analysis for Python,service,true
languagetool,https://languagetool.org/,Style and grammar checker for 25+ languages. It finds many errors that a simple spell checker cannot detect,writing,false
laser,https://github.com/michaeledgar/laser,Static analysis and style linter for Ruby code,ruby,false
Qualys Container Security,https://www.qualys.com/apps/container-security/,Container native application protection to provide visibility and control of containerized applications,"container, service",true
